categoria,fecha,crimen,colonia,long,lat,Cluster,color
ROBO EN METROBUS SV,2019-06-24 07:55:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,TEPEYAC INSURGENTES,-99.12248000000001,19.48657,43,Rojo
ROBO EN METROBUS SV,2019-06-21 17:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,NUEVA ATZACOALCO,-99.08958,19.49731,12,Verde
ROBO EN METROBUS SV,2019-05-04 08:20:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,SAN PEDRO EL CHICO,-99.09711,19.4785,42,Rojo
ROBO EN METROBUS SV,2019-05-16 19:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,TEPEYAC INSURGENTES,-99.1256,19.48382,44,Rojo
ROBO EN METROBUS SV,2020-02-24 17:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,EL OLIVO,-99.0885130003106,19.474581096128198,29,Naranja
ROBO EN METROBUS SV,2020-01-31 05:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,RESIDENCIAL ZACATENCO,-99.1209427407707,19.493203334479198,48,Verde
ROBO EN METROBUS SV,2020-03-02 21:40:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,LA PRADERA,-99.0688366048287,19.4734562913988,9,Rojo
ROBO EN METROBUS SV,2020-03-10 08:20:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,LINDAVISTA,-99.1330906695755,19.4906376785678,32,Naranja
ROBO EN METROBUS SV,2020-03-09 08:25:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,NUEVA VALLEJO,-99.1495741555536,19.483373243104,15,Verde
ROBO EN METROBUS SV,2020-09-01 13:45:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,TEPEYAC INSURGENTES,-99.1231255000667,19.4868892983985,43,Rojo
