categoria,fecha,crimen,colonia,long,lat,Cluster,color
ROBO DE CELULAR CON VIOLENCIA,2017-09-18 21:00:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,LINDAVISTA,-99.13581894715608,19.489834972188397,-1,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-09-15 16:50:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,CUCHILLA LA JOYA,-99.1118212385149,19.4554785578736,-1,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-09-16 05:15:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,LA PRADERA,-99.06587874194392,19.47605456426011,345,Verde
ROBO DE CELULAR CON VIOLENCIA,2017-09-17 15:15:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,EL ARBOLILLO CTM,-99.1434738306721,19.5233465819589,170,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-09-18 08:40:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,RESIDENCIAL ZACATENCO,-99.11963639549307,19.496009467834305,383,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-09-18 21:20:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,SAN JUAN DE ARAGON I SECCION,-99.0948484475108,19.4620713284325,-1,Rojo
ROBO DE CELULAR CON VIOLENCIA,2018-06-13 19:20:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,LINDAVISTA,-99.13357788946821,19.4908512389549,517,Rojo
ROBO DE CELULAR CON VIOLENCIA,2018-07-30 12:00:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,ESTRELLA,-99.1144122997077,19.473957703353697,-1,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-12-06 09:43:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,SAN JUAN DE ARAGON IV SECCION,-99.0846677755263,19.459228223796305,7,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-12-04 16:00:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,VALLEJO,-99.13563601281271,19.468625363184106,618,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-12-08 16:00:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,BONDOJITO,-99.1075763998763,19.4661553644538,414,Verde
ROBO DE CELULAR CON VIOLENCIA,2017-12-13 19:30:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,AMPLIACION PANAMERICANA,-99.1416681641358,19.480696977636303,441,Naranja
ROBO DE CELULAR CON VIOLENCIA,2017-12-16 04:30:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,LINDAVISTA,-99.1266762870563,19.493358451891503,392,Naranja
ROBO DE CELULAR CON VIOLENCIA,2017-10-22 08:20:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,VALLE DEL TEPEYAC,-99.14127047981172,19.4863477477133,-1,Rojo
ROBO DE CELULAR CON VIOLENCIA,2017-10-24 16:55:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,LA LAGUNA TICOMAN,-99.1253814999999,19.5128288998333,10,Verde
ROBO DE CELULAR CON VIOLENCIA,2017-10-24 20:30:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,VILLA GUSTAVO A. MADERO,-99.10706625743641,19.4813274938038,545,Naranja
